team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
TOR,2024,TOR,TOR,Team Level,other,31,0.59,0.56,0.58,4703.0,77.95,20.89,5.46,13.69,2.71,39.11,24.14,19.2,20.89,19.2,70.0,36.0,22.0,128.0,16.0,12.0,0.0,11.0,0.0,35.0,32.0,54.0,90.0,1.0,4.0,51.0,8.0,5.0,9.0,46.0,24.0,36.0,1.94,2.92,16.03,2.0,3.0,11.0,128.0,106.0,106.0,4.0,1.58,3.25,3.25,19.22,19.22,18.3,56.36,14.46,4.45,9.67,1.92,31.58,14.92,13.62,14.46,13.62,53.0,24.0,25.0,102.0,18.0,4.0,1.0,13.0,0.0,29.0,13.0,35.0,59.0,1.0,2.0,50.0,10.0,6.0,11.0,44.0,13.0,20.0,1.74,1.87,10.85,4.0,3.0,11.0,102.0,77.0,77.0,3.0,1.32,0.9,0.9,14.88,14.88,14.18
TOR,2024,TOR,TOR,Team Level,all,31,0.52,0.49,0.5,112344.0,971.07,101.7,67.89,229.19,32.37,523.26,372.6,96.18,101.82,96.28,900.0,427.0,495.0,1822.0,92.0,97.0,10.0,192.0,3.0,407.0,536.0,808.0,1235.0,117.0,250.0,903.0,725.0,157.0,448.0,940.0,255.0,132.0,27.22,31.35,43.13,26.0,39.0,27.0,1822.9,1327.0,1326.0,230.0,15.2,19.2,19.2,97.7,97.63,94.69,956.13,92.83,64.0,235.41,32.27,523.54,374.95,88.58,93.09,88.85,893.0,430.0,580.0,1903.0,81.0,99.0,12.0,196.0,1.0,438.0,508.0,812.0,1242.0,110.0,237.0,808.0,644.0,160.0,410.0,1004.0,212.0,107.0,26.37,26.98,39.49,29.0,24.0,28.0,1905.65,1323.0,1330.56,194.0,14.3,19.08,19.26,87.88,88.47,86.21
TOR,2024,TOR,TOR,Team Level,5on5,31,0.52,0.49,0.5,89036.0,727.69,60.04,47.57,181.89,24.2,393.01,288.28,57.65,60.17,57.75,672.0,323.0,415.0,1410.0,57.0,66.0,6.0,150.0,3.0,298.0,421.0,615.0,938.0,110.0,231.0,679.0,693.0,140.0,397.0,749.0,184.0,62.0,20.6,22.5,16.94,18.0,31.0,8.0,1410.9,995.0,994.0,202.0,9.86,12.23,12.75,57.16,57.08,56.14,726.95,55.57,45.31,190.43,24.72,395.8,296.18,53.95,55.82,54.22,674.0,334.0,481.0,1489.0,44.0,77.0,10.0,149.0,1.0,324.0,413.0,630.0,964.0,93.0,200.0,601.0,609.0,135.0,357.0,800.0,150.0,58.0,20.62,18.94,16.01,22.0,14.0,8.0,1491.65,1008.0,1015.56,174.0,9.36,12.97,13.45,51.47,52.06,51.46
TOR,2024,TOR,TOR,Team Level,4on5,31,0.09,0.11,0.13,9808.0,21.99,1.86,1.07,3.29,0.7,7.28,15.8,1.84,1.86,1.84,26.0,4.0,4.0,34.0,2.0,0.0,0.0,3.0,0.0,5.0,20.0,24.0,28.0,4.0,11.0,96.0,17.0,7.0,22.0,22.0,5.0,3.0,0.57,0.61,0.68,1.0,0.0,1.0,34.0,30.0,30.0,21.0,0.25,0.0,0.0,2.11,2.11,2.09,145.75,19.8,12.73,30.87,4.65,87.61,45.32,18.19,19.8,18.19,133.0,68.0,73.0,274.0,18.0,14.0,1.0,33.0,0.0,79.0,57.0,115.0,183.0,13.0,29.0,81.0,9.0,5.0,30.0,134.0,43.0,24.0,3.22,5.24,11.34,3.0,6.0,9.0,274.0,201.0,201.0,5.0,3.28,4.17,3.87,19.21,19.21,18.27
TOR,2024,TOR,TOR,Team Level,5on4,31,0.86,0.87,0.84,8797.0,143.45,18.9,13.78,30.32,4.76,83.86,44.37,17.49,18.9,17.49,132.0,64.0,54.0,250.0,17.0,19.0,4.0,28.0,0.0,69.0,63.0,115.0,179.0,2.0,4.0,77.0,7.0,5.0,20.0,123.0,42.0,31.0,4.1,5.33,9.48,5.0,5.0,7.0,250.0,196.0,196.0,3.0,3.51,3.72,3.19,19.22,19.22,18.17,27.07,3.01,1.5,4.43,0.97,8.56,18.53,2.82,3.01,2.82,33.0,4.0,1.0,38.0,1.0,4.0,0.0,1.0,0.0,6.0,25.0,32.0,36.0,3.0,6.0,76.0,16.0,14.0,12.0,26.0,6.0,5.0,0.79,0.93,1.29,0.0,1.0,0.0,38.0,37.0,37.0,12.0,0.34,1.04,1.04,2.31,2.31,2.3
MTL,2024,MTL,MTL,Team Level,other,30,0.37,0.43,0.45,4700.0,48.21,8.88,3.35,8.96,1.82,27.25,16.74,8.29,8.88,8.29,40.0,27.0,26.0,93.0,8.0,4.0,1.0,9.0,0.0,23.0,23.0,32.0,59.0,6.0,17.0,50.0,16.0,10.0,11.0,44.0,10.0,13.0,1.9,1.14,5.85,0.0,2.0,6.0,93.0,67.0,67.0,3.0,0.94,0.75,0.75,9.08,9.08,8.53,61.53,15.34,4.2,10.69,1.95,31.35,18.46,14.16,15.34,14.16,58.0,24.0,41.0,123.0,14.0,6.0,0.0,8.0,1.0,33.0,20.0,44.0,68.0,2.0,7.0,58.0,15.0,3.0,11.0,37.0,25.0,20.0,1.63,3.21,10.5,2.0,4.0,8.0,123.0,82.0,82.0,5.0,1.28,2.08,2.08,14.54,14.54,13.92
MTL,2024,MTL,MTL,Team Level,all,30,0.44,0.45,0.46,109083.0,803.09,82.03,54.28,189.38,27.6,439.48,323.23,79.17,81.11,78.26,728.0,388.0,479.0,1595.0,81.0,76.0,12.0,134.0,2.0,367.0,456.0,647.0,1035.0,128.0,279.0,790.0,735.0,147.0,412.0,799.0,238.0,79.0,25.08,29.78,27.17,35.0,21.0,25.0,1569.74,1116.0,1103.45,208.0,12.04,14.99,15.7,78.37,77.32,75.37,983.14,105.42,66.76,230.16,32.56,524.25,375.85,100.23,107.65,102.33,899.0,436.0,580.0,1915.0,112.0,104.0,11.0,178.0,2.0,419.0,520.0,787.0,1223.0,116.0,251.0,832.0,630.0,150.0,424.0,946.0,254.0,135.0,28.07,31.03,46.32,48.0,35.0,29.0,1955.62,1335.0,1357.85,188.0,15.05,23.08,23.13,97.35,99.14,96.47
MTL,2024,MTL,MTL,Team Level,5on5,30,0.44,0.46,0.46,85392.0,609.28,54.6,39.45,150.12,20.98,335.38,251.49,53.08,53.67,52.17,562.0,290.0,397.0,1249.0,53.0,58.0,8.0,103.0,1.0,281.0,356.0,509.0,799.0,111.0,237.0,583.0,675.0,115.0,363.0,628.0,180.0,44.0,19.38,22.93,12.27,31.0,12.0,10.0,1223.74,852.0,839.45,191.0,8.17,10.66,10.66,52.1,51.04,50.25,749.67,69.61,47.74,184.26,24.99,395.38,298.01,67.08,71.84,69.18,681.0,339.0,444.0,1464.0,78.0,86.0,10.0,135.0,1.0,296.0,424.0,603.0,942.0,104.0,223.0,593.0,585.0,124.0,364.0,749.0,183.0,88.0,22.5,22.59,24.53,39.0,26.0,13.0,1504.62,1020.0,1042.85,170.0,9.92,18.35,18.4,61.13,62.92,61.89
MTL,2024,MTL,MTL,Team Level,4on5,30,0.11,0.12,0.15,10268.0,28.64,2.21,1.27,4.59,0.89,8.86,20.18,2.19,2.21,2.19,27.0,11.0,4.0,42.0,2.0,1.0,0.0,1.0,0.0,6.0,28.0,25.0,36.0,6.0,15.0,84.0,34.0,13.0,15.0,28.0,9.0,1.0,0.96,1.0,0.24,0.0,2.0,0.0,42.0,38.0,38.0,12.0,0.29,0.07,0.07,2.42,2.42,2.4,154.5,18.36,13.75,32.4,4.96,91.39,48.15,16.9,18.36,16.9,141.0,68.0,92.0,301.0,18.0,11.0,1.0,34.0,0.0,81.0,65.0,123.0,191.0,4.0,11.0,96.0,8.0,16.0,34.0,144.0,42.0,23.0,3.56,4.8,9.99,6.0,5.0,7.0,301.0,209.0,209.0,1.0,3.61,2.56,2.56,19.41,19.41,18.4
MTL,2024,MTL,MTL,Team Level,5on4,30,0.89,0.89,0.87,8723.0,116.96,16.35,10.21,25.72,3.91,68.0,34.82,15.62,16.35,15.62,99.0,60.0,52.0,211.0,18.0,13.0,3.0,21.0,1.0,57.0,49.0,81.0,141.0,5.0,10.0,73.0,10.0,9.0,23.0,99.0,39.0,21.0,2.84,4.71,8.81,4.0,5.0,9.0,211.0,159.0,159.0,2.0,2.64,3.51,4.21,14.78,14.78,14.21,17.43,2.11,1.07,2.8,0.65,6.13,11.24,2.1,2.11,2.1,19.0,5.0,3.0,27.0,2.0,1.0,0.0,1.0,0.0,9.0,11.0,17.0,22.0,6.0,10.0,85.0,22.0,7.0,15.0,16.0,4.0,4.0,0.39,0.43,1.29,1.0,0.0,1.0,27.0,24.0,24.0,12.0,0.24,0.09,0.09,2.27,2.27,2.26
