Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2024-10-17,5:00 PM,7:00 PM,Buffalo Sabres,4,Columbus Blue Jackets,6,Regulation
2024-10-17,5:30 PM,7:30 PM,New York Rangers,5,Detroit Red Wings,2,Regulation
2024-10-17,6:00 PM,8:00 PM,New York Islanders,0,St. Louis Blues,1,OT
2024-10-17,6:00 PM,8:00 PM,Edmonton Oilers,4,Nashville Predators,2,Regulation
2024-10-17,6:30 PM,8:30 PM,San Jose Sharks,2,Chicago Blackhawks,4,Regulation
2024-10-17,8:00 PM,10:00 PM,Philadelphia Flyers,4,Seattle Kraken,6,Regulation
2024-10-18,5:00 PM,7:00 PM,Carolina Hurricanes,4,Pittsburgh Penguins,1,Regulation
2024-10-18,6:00 PM,8:00 PM,San Jose Sharks,3,Winnipeg Jets,8,Regulation
2024-10-18,7:00 PM,9:00 PM,Anaheim Ducks,3,Colorado Avalanche,4,OT
2024-10-19,11:00 AM,1:00 PM,Tampa Bay Lightning,4,Ottawa Senators,5,Regulation
2024-10-19,12:00 PM,2:00 PM,Detroit Red Wings,5,Nashville Predators,2,Regulation
2024-10-19,2:00 PM,4:00 PM,Edmonton Oilers,1,Dallas Stars,4,Regulation
2024-10-19,4:00 PM,6:00 PM,Vegas Golden Knights,3,Florida Panthers,4,OT
2024-10-19,5:00 PM,7:00 PM,New York Rangers,4,Toronto Maple Leafs,1,Regulation
2024-10-19,5:00 PM,7:00 PM,Washington Capitals,6,New Jersey Devils,5,OT
2024-10-19,5:00 PM,7:00 PM,Montreal Canadiens,3,New York Islanders,4,SO
2024-10-19,5:00 PM,7:00 PM,Vancouver Canucks,3,Philadelphia Flyers,0,Regulation
2024-10-19,5:00 PM,7:00 PM,Minnesota Wild,3,Columbus Blue Jackets,1,Regulation
2024-10-19,5:00 PM,7:00 PM,Carolina Hurricanes,3,St. Louis Blues,4,Regulation
2024-10-19,6:00 PM,8:00 PM,Buffalo Sabres,4,Chicago Blackhawks,2,Regulation
2024-10-19,7:00 PM,9:00 PM,Boston Bruins,1,Utah Hockey Club,2,OT
2024-10-19,8:00 PM,10:00 PM,Calgary Flames,1,Seattle Kraken,2,OT
2024-10-20,1:00 PM,3:00 PM,Pittsburgh Penguins,3,Winnipeg Jets,6,Regulation
2024-10-20,6:00 PM,8:00 PM,Colorado Avalanche,4,San Jose Sharks,1,Regulation
2024-10-20,6:00 PM,8:00 PM,Los Angeles Kings,4,Anaheim Ducks,1,Regulation
2024-10-21,5:30 PM,7:30 PM,Tampa Bay Lightning,2,Toronto Maple Leafs,5,Regulation
2024-10-22,4:00 PM,6:00 PM,Washington Capitals,4,Philadelphia Flyers,1,Regulation
2024-10-22,4:30 PM,6:30 PM,Minnesota Wild,5,Florida Panthers,1,Regulation
2024-10-22,4:45 PM,6:45 PM,Tampa Bay Lightning,8,New Jersey Devils,5,Regulation
2024-10-22,5:00 PM,7:00 PM,Dallas Stars,2,Buffalo Sabres,4,Regulation
2024-10-22,5:15 PM,7:15 PM,New York Rangers,7,Montreal Canadiens,2,Regulation
2024-10-22,5:30 PM,7:30 PM,Toronto Maple Leafs,2,Columbus Blue Jackets,6,Regulation
